model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,1,Care,label,0,3.529415655785974,,0.3792409019304218,4,False,False,,,40,,14177452b5bf66ff,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,2,Care,label,0,1.8732334423163874,,0.4979165181730339,5,False,False,,,40,,d35fe8175527d70d,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,3,Care,label,0,3.4980870346166517,,0.33591540297115824,4,False,False,,,40,,1ea3cce90929b905,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,4,Care,label,0,3.3828075319641244,,0.22911996217602662,4,False,False,,,40,,9234e2f73ed0e710,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,5,Care,label,0,3.13114224001971,,0.2581632369752684,5,False,False,,,40,,17c9279bcef36087,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,6,Care,label,0,2.2243104952515247,,0.25570223082933874,5,False,False,,,40,,06bc6f05164ac49e,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,7,Care,label,0,3.4017980225074402,,0.44371666218086164,4,False,False,,,40,,cd34a96021953a77,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,8,Care,label,0,3.558147244262855,,0.3954400740962918,5,False,False,,,40,,d57e75fa90b6c6af,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,9,Care,label,0,3.462753332828478,,0.564486448908951,4,False,False,,,40,,03e2b9cf0ead7dc6,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,10,Care,label,0,2.9816557659750242,,0.4252350522305756,5,False,False,,,40,,fd1ef8ea8bbce17a,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,11,Care,label,0,3.436320630501769,,0.4875365446353718,4,False,False,,,40,,1f0f3e4bad0129d8,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,12,Care,label,0,3.105174589144243,,0.4220830058907748,5,False,False,,,40,,69f6477cd0d597d6,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,13,Care,label,0,3.1629141561233745,,0.5418011023579073,5,False,False,,,40,,6c883d528de18cd7,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,14,Care,label,0,2.9394607383448252,,0.40076743224184225,5,False,False,,,40,,c485c4688ddcb6fd,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,15,Care,label,0,2.53949829302056,,0.3671572125565035,5,False,False,,,40,,1d5d32ff31e3b33e,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,16,Care,label,0,2.959280022379198,,0.19490021167073432,5,False,False,,,40,,d9f8f65ef86049b0,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,17,Fairness,label,0,3.7047625148833534,,0.6449877438526234,4,False,False,,,19,,f0af6f2100fe3b8d,4
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,18,Fairness,label,0,3.729230180706136,,0.5468529431859198,5,False,False,,,40,,7921ba1665b5806d,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,19,Fairness,label,0,3.586663424230443,,0.47483090591319466,4,False,False,,,40,,748d0cf0b923f91a,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,20,Fairness,label,0,2.4687791104826506,,0.4379999388058205,5,False,False,,,40,,3c5935e9759f53ee,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,21,Fairness,label,0,3.6111861726115153,,0.463409121578251,5,False,False,,,40,,390470162f610e60,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,22,Fairness,label,0,3.497667521439389,,0.57866207065786,4,False,False,,,40,,572390933c5170e9,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,23,Fairness,label,0,3.726773146964116,,0.8267205127237802,5,False,False,,,19,,f3670e1f7ff525b4,4
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,24,Fairness,label,0,3.373408274444091,,0.5249991434372715,4,False,False,,,40,,bcf3cefc1e5af5f8,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,25,Fairness,label,0,3.219763779712556,,0.5116596753911172,4,False,False,,,40,,b3643344310f7909,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,26,Fairness,label,0,3.497266012586931,,0.7191869030639751,5,False,False,,,18,,c703ae6a9b1116d2,3
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,27,Fairness,label,0,3.420458259966158,,0.5829853716070434,5,False,False,,,40,,78f81560a254cc60,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,28,Fairness,label,0,3.7531379936292755,,0.7367321694779723,5,False,False,,,19,,9c47091b842aed82,4
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,29,Fairness,label,0,2.9152962289970885,,0.5070116383434616,5,False,False,,,40,,889dd26592bb32ae,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,30,Fairness,label,0,3.7045545150790113,,0.43083348366044855,4,False,False,,,40,,af609e3937463032,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,31,Fairness,label,0,3.8352316309183725,,0.7164796625805925,4,False,False,,,19,,00f75d30e838c1fe,4
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,32,Fairness,label,0,2.6493316469425343,,0.4561030828221862,5,False,False,,,40,,95a4871146e35129,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,33,Fairness,label,0,3.033524014210046,,0.3566468670722077,5,False,False,,,40,,367d8655e4b5604e,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,34,Loyalty,label,0,3.193674572090081,,0.4433959940525136,5,False,False,,,40,,a0e4690b752368de,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,35,Loyalty,label,0,1.6430827739727414,,0.5950616531173432,5,False,False,,,40,,37ace34ce0454ec5,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,36,Loyalty,label,0,3.7174730334370065,,0.572382010731543,5,False,False,,,19,,c048017e95e9de90,4
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,37,Loyalty,label,0,2.6697259931281545,,0.5217022772977458,5,False,False,,,40,,4202ecacdd56c949,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,38,Loyalty,label,0,3.7004446608993944,,0.5241979591315902,4,False,False,,,40,,b6cd6ba6658150ec,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,39,Loyalty,label,0,3.6441676595032138,,0.38973055739368856,4,False,False,,,40,,6b3b55c01fd827a0,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,40,Loyalty,label,0,2.1390193289193005,,0.30851667224607165,5,False,False,,,40,,69feb182e3f33a4c,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,41,Loyalty,label,0,3.2993255693970487,,0.38333866892849766,4,False,False,,,40,,0a6df67397597597,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,42,Loyalty,label,0,3.1700407866003597,,0.5200753068184707,5,False,False,,,40,,8c6641f038bfdff9,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,43,Loyalty,label,0,3.903837178912086,,0.6718631975026028,4,False,False,,,19,,bdff002255b4f18c,4
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,44,Loyalty,label,0,2.025508815323782,,0.501483864374143,5,False,False,,,40,,82c4e7c2ddb8ff57,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,45,Loyalty,label,0,3.491452805287291,,0.4244497590123057,5,False,False,,,40,,78b450924eef5e08,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,46,Loyalty,label,0,3.2958602135088215,,0.23640962455727021,5,False,False,,,40,,05d99622d2c90230,I
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,47,Loyalty,label,0,3.7720137358200603,,0.7981096579636605,5,False,False,,,19,,c02a400978f31273,4
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,48,Loyalty,label,0,3.945610660206457,,0.5107433510507474,4,False,False,,,19,,08182e86e06990fe,4
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,49,Loyalty,label,0,3.643533779713866,,0.7168940172730217,5,False,False,,,19,,0d877d1ea296aa93,4
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,50,Authority,label,0,3.341367472702047,,0.5452184429301021,4,False,False,,,40,,8c3bdd16f6f74b62,I
