model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,1,Care,label,0,1.8032463552475768,1.8032457203281225,0.9990280839999358,5,False,False,,True,,,label,0,,,add09e54f847dca8,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,2,Care,label,0,1.857842824307435,1.8578416920623353,0.9984928971133356,5,False,False,,True,,,label,0,,,d02b48f484c9fd49,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,3,Care,label,0,1.8073950236278504,1.8073938155210127,0.9991719279518855,5,False,False,,True,,,label,0,,,e77c696dedb9b296,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,4,Care,label,0,1.7722396921887076,1.7722383722023876,0.9993870454728698,5,False,False,,True,,,label,0,,,dadf494a191d2f13,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,5,Care,label,0,1.7237121495250056,1.7237109413321392,0.9992801409414617,5,False,False,,True,,,label,0,,,0b9923ec57337d19,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,6,Care,label,0,1.7722494317568394,1.77224828438467,0.9991180212202242,5,False,False,,True,,,label,0,,,790adece3c4da7ab,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,7,Care,label,0,1.8610039637503446,1.8610033653310676,0.9989623729425068,5,False,False,,True,,,label,0,,,345d14a786ab109a,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,8,Care,label,0,1.8517944354152438,1.8517935936207148,0.998362384270245,5,False,False,,True,,,label,0,,,5be4a442bb5edd86,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,9,Care,label,0,2.0345982994173872,2.034598076320465,0.9989117438552876,5,False,False,,True,,,label,0,,,e7ce26205a7890a7,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,10,Care,label,0,1.841931753838655,1.8419307122767719,0.9991521793433776,5,False,False,,True,,,label,0,,,7373d2cc4d2c27d7,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,11,Care,label,0,1.9394201727705414,1.9394196079289088,0.9990019057576167,5,False,False,,True,,,label,0,,,15c66492ec351920,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,12,Care,label,0,1.75828537390199,1.7582835267115604,0.9992799793647626,5,False,False,,True,,,label,0,,,96a5e8d58cc271a5,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,13,Care,label,0,1.590847152384311,1.5908457136980374,0.9993718614146474,5,False,False,,True,,,label,0,,,385dff2177d66657,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,14,Care,label,0,1.7838533088482433,1.7838527194711935,0.9990218406883358,5,False,False,,True,,,label,0,,,bbb67b2a11cd6d48,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,15,Care,label,0,1.9815491377206225,1.9815480321992225,0.9991643908919385,5,False,False,,True,,,label,0,,,b5ac1afe2446645a,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,16,Care,label,0,1.645267810356851,1.6452656633568514,0.9992012767034593,5,False,False,,True,,,label,0,,,74dd84997245ee1f,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,17,Fairness,label,0,1.905552157498197,1.9055507399977976,0.9982119630785142,5,False,False,,True,,,label,0,,,081bbdeb27c9d9ba,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,18,Fairness,label,0,1.9679363688656188,1.9679356621512154,0.9981531297498433,5,False,False,,True,,,label,0,,,8f864c44ad7b8898,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,19,Fairness,label,0,2.1383489151064268,2.1383484944586075,0.9977633459402768,5,False,False,,True,,,label,0,,,c3b9a40c082b9de1,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,20,Fairness,label,0,1.7992183370041843,1.7992171251513744,0.9987406139257503,5,False,False,,True,,,label,0,,,3918ce1d488b140f,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,21,Fairness,label,0,1.9028646304679786,1.9028640533204049,0.9992240612537313,5,False,False,,True,,,label,0,,,e7dbcc1c43407f04,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,22,Fairness,label,0,2.0211693580920844,2.021167942083052,0.9990287228309315,5,False,False,,True,,,label,0,,,c11a4afee3b09914,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,23,Fairness,label,0,2.400971097626061,2.400970877779092,0.9972614897137703,5,False,False,,True,,,label,0,,,4db4f9d71823acc3,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,24,Fairness,label,0,2.0342831818091325,2.0342824026079915,0.9988190831579876,5,False,False,,True,,,label,0,,,42f0ae82fc584562,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,25,Fairness,label,0,2.0921770241898012,2.0921764512832874,0.9991101325554969,5,False,False,,True,,,label,0,,,6f98b76fa9e2e97c,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,26,Fairness,label,0,1.8124296572662424,1.8124280286530106,0.999547537716537,5,False,False,,True,,,label,0,,,1aee3ca950d4a6e4,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,27,Fairness,label,0,1.6667053684030022,1.6667020708069236,0.9990764899078719,5,False,False,,True,,,label,0,,,ade18057e1400d65,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,28,Fairness,label,0,1.947846295681726,1.9478439281692894,0.998938048525923,5,False,False,,True,,,label,0,,,b4e9ce6e709fa91c,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,29,Fairness,label,0,1.8588484903988631,1.8588469404683166,0.999429836594768,5,False,False,,True,,,label,0,,,da64ef21624e20a9,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,30,Fairness,label,0,2.2181991962193424,2.218198944493582,0.998535438313126,5,False,False,,True,,,label,0,,,d620d38d7aa1adbc,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,31,Fairness,label,0,1.9873678998334519,1.987367003955762,0.9988695374343716,5,False,False,,True,,,label,0,,,f7db8614c705ed1c,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,32,Fairness,label,0,1.8193795147274772,1.8193785260704822,0.9989815700580299,5,False,False,,True,,,label,0,,,e7e9b34bb6f8c18c,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,33,Fairness,label,0,1.6650324408021149,1.6650285784604837,0.9990998471356436,5,False,False,,True,,,label,0,,,686a1b3efdf36cd5,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,34,Loyalty,label,0,1.824018775863701,1.8240168549268236,0.9989953008024745,5,False,False,,True,,,label,0,,,ef54c6e33f2da7e9,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,35,Loyalty,label,0,1.9820296807579856,1.9820292994264386,0.9987427425123898,5,False,False,,True,,,label,0,,,02880fca6e34aaaa,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,36,Loyalty,label,0,1.5971923461517656,1.597191556253028,0.9989081078760143,5,False,False,,True,,,label,0,,,42b153f9fbe3be60,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,37,Loyalty,label,0,1.8017308170066382,1.8017302068981271,0.999133759707213,5,False,False,,True,,,label,0,,,84ff0e137301f2f2,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,38,Loyalty,label,0,1.6283949552903654,1.6283941511150595,0.9994163254493238,5,False,False,,True,,,label,0,,,220698348b66d31a,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,39,Loyalty,label,0,2.225811527347385,2.2258108383052746,0.9958581593252078,5,False,False,,True,,,label,0,,,a141394d2c6be3ad,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,40,Loyalty,label,0,1.6577794927611182,1.6577786704217445,0.9991802495421196,5,False,False,,True,,,label,0,,,b337bd83fa8dd03d,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,41,Loyalty,label,0,2.019123402128995,2.0191227898289044,0.9992004754969527,5,False,False,,True,,,label,0,,,f33d6d702f709ab0,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,42,Loyalty,label,0,1.7783488124337246,1.778347821971593,0.9992678902394383,5,False,False,,True,,,label,0,,,3c48ae06d95915d3,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,43,Loyalty,label,0,2.654839805228943,2.6548400686800466,0.9977611296480303,5,False,False,,True,,,label,0,,,48ff0275c29b6f30,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,44,Loyalty,label,0,2.282312689314743,2.282312327945801,0.9983703936435963,5,False,False,,True,,,label,0,,,16d72da194af7ef1,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,45,Loyalty,label,0,2.1517687483108934,2.151768407349562,0.9969602077235341,5,False,False,,True,,,label,0,,,66b48ba1e5e5a678,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,46,Loyalty,label,0,2.3199011516616426,2.3199012003928328,0.9982748673602765,5,False,False,,True,,,label,0,,,180b0dc07534cdef,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,47,Loyalty,label,0,2.3419972652849292,2.341997184759837,0.9974284233560344,5,False,False,,True,,,label,0,,,a1f45249f0baea0e,
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,v2,48,Loyalty,label,0,2.2442200933810255,2.244220012955483,0.9977943798401484,5,False,False,,True,,,label,0,,,152b7cacef3b9c1a,
