model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,1,Care,label,0,3.999978555034277,3.999978555034277,0.999999987751007,5,False,False,,True,,,label,0,,,add09e54f847dca8,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,2,Care,label,0,2.000709635681722,2.000709635681722,1.000000089313819,5,False,False,,True,,,label,0,,,d02b48f484c9fd49,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,3,Care,label,0,3.1183047202397587,3.1183047202397587,1.0000000121248154,5,False,False,,True,,,label,0,,,e77c696dedb9b296,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,4,Care,label,0,2.001161626659119,2.001161626659119,1.000000030258486,5,False,False,,True,,,label,0,,,dadf494a191d2f13,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,5,Care,label,0,3.2177331375230835,3.2177331375230835,1.0000000924587689,5,False,False,,True,,,label,0,,,0b9923ec57337d19,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,6,Care,label,0,3.137283562554537,3.137283562554537,0.9999999502306081,5,False,False,,True,,,label,0,,,790adece3c4da7ab,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,7,Care,label,0,3.880751473092901,3.880751473092901,0.9999999469169656,5,False,False,,True,,,label,0,,,345d14a786ab109a,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,8,Care,label,0,3.3198950198885595,3.3198950198885595,0.9999999861777847,5,False,False,,True,,,label,0,,,5be4a442bb5edd86,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,9,Care,label,0,2.014063831116293,2.014063831116293,1.0000000191795293,5,False,False,,True,,,label,0,,,e7ce26205a7890a7,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,10,Care,label,0,2.000902124001123,2.000902124001123,1.0000000556364579,5,False,False,,True,,,label,0,,,7373d2cc4d2c27d7,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,11,Care,label,0,3.9999832985675483,3.9999832985675483,1.0000000124101116,5,False,False,,True,,,label,0,,,15c66492ec351920,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,12,Care,label,0,3.622431529132114,3.622431529132114,0.9999999904738889,5,False,False,,True,,,label,0,,,96a5e8d58cc271a5,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,13,Care,label,0,2.0009093052097295,2.0009093052097295,1.000000029590279,5,False,False,,True,,,label,0,,,385dff2177d66657,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,14,Care,label,0,2.1824929845766103,2.1824929845766103,0.9999999289493782,5,False,False,,True,,,label,0,,,bbb67b2a11cd6d48,
Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,v2,15,Care,label,0,2.0019121154320003,2.0019121154320003,0.9999998773079904,5,False,False,,True,,,label,0,,,b5ac1afe2446645a,
