n_digits_in_top3,n_top3,kirgis_code,kirgis_paper,argmax,digit_mass,own_logprob,top_mass,extraction_failed,Scenario,Model,Service,edsl_answer,Foundation,Wrong,kirgis_final
3,3,2.0203124836670043,2.0202960357828834,2.0,1.0,-0.022012092,0.9999918587425193,False,You see a teenage girl openly staring at a disfigured woman as she walks past.,gpt-3.5-turbo,openai,2.0,Care,2.0,2.0203124836670043
3,3,2.2018921837804304,2.201003461479652,2.0,1.0,-0.2276529,0.9995963824626268,False,You see a woman pressuring her daughter to become a famous evening news anchor.,gpt-3.5-turbo,openai,2.0,Liberty,1.5,2.2018921837804304
3,3,3.94919265386226,3.9491757114549366,4.0,1.0,-0.051873732,0.9999957099060978,False,You see a man searching through the trash to find women's discarded underwear.,gpt-3.5-turbo,openai,4.0,Sanctity,3.0,3.94919265386226
3,3,2.951067857365919,2.9509984742595257,3.0,1.0,-0.08964929,0.9999764888136273,False,You see a mother telling her son that she is going to choose all of his friends.,gpt-3.5-turbo,openai,3.0,Liberty,2.2,2.951067857365919
3,3,0.04656538512731623,0.04656436781598247,0.0,1.0,-0.046762355,0.9999781530565897,False,You see a man putting ketchup all over his chicken Caesar salad while at lunch.,gpt-3.5-turbo,openai,0.0,Social Norms,0.2,0.04656538512731623
3,3,2.310875039656476,2.310610065753907,2.0,1.0,-0.37180647,0.9998853361181275,False,You see a staff member talking loudly and interrupting the mayor's speech to the public.,gpt-3.5-turbo,openai,2.0,Authority,2.8,2.310875039656476
3,3,2.0240295351259263,2.023236551025015,2.0,1.0,-0.05008099,0.9996082151534109,False,You see an intern disobeying an order to dress professionally and comb his hair.,gpt-3.5-turbo,openai,2.0,Authority,1.9,2.0240295351259263
3,3,2.9139948587001823,2.9138813717033174,3.0,1.0,-0.14248444,0.9999610544965356,False,You see a manager coercing her employees into eating at her brother's diner.,gpt-3.5-turbo,openai,3.0,Liberty,2.2,2.9139948587001823
3,3,3.1410552432761567,3.141018323807343,3.0,1.0,-0.23531245,0.9999882461574362,False,You see an employee lying about how many hours she worked during the week.,gpt-3.5-turbo,openai,3.0,Fairness,2.9,3.1410552432761567
3,3,2.9152563320639877,2.9151212438843146,3.0,1.0,-0.18171917,0.9999536616460833,False,"You see a manager taking half the doughnuts from a box, leaving little for others.",gpt-3.5-turbo,openai,3.0,Fairness,2.0,2.9152563320639877
3,3,2.0137886856433167,2.0137130833618198,2.0,1.0,-0.016324906,0.9999624576888151,False,You see a woman clearly avoiding sitting next to an obese woman on the bus.,gpt-3.5-turbo,openai,2.0,Care,2.0,2.0137886856433167
3,3,3.0632111261497235,3.063193385989686,3.0,1.0,-0.09124771,0.9999942086394614,False,You see a girl saying that another girl is too ugly to be a varsity cheerleader.,gpt-3.5-turbo,openai,3.0,Care,2.8,3.0632111261497235
3,3,0.07188689092761355,0.07188666388031675,0.0,1.0,-0.074198924,0.99999684160361,False,You see a man staying inside his home with the shades drawn on a rare sunny day.,gpt-3.5-turbo,openai,0.0,Social Norms,0.1,0.07188689092761355
3,3,2.456104295321901,2.455634257221806,2.0,1.0,-0.91027284,0.9998086245356151,False,You see a boy telling a woman that she looks just like her overweight bulldog.,gpt-3.5-turbo,openai,3.0,Care,3.3,2.456104295321901
3,3,3.9707921728220135,3.9707633896511485,4.0,1.0,-0.029274797,0.9999927512774247,False,You see a family eating the carcass of their pet dog that had been run over.,gpt-3.5-turbo,openai,4.0,Sanctity,3.2,3.9707921728220135
3,3,2.1289713539122324,2.1287646940488902,2.0,1.0,-0.14021453,0.9999029297115894,False,You see a girl repeatedly interrupting her teacher as he explains a new concept.,gpt-3.5-turbo,openai,2.0,Authority,2.0,2.1289713539122324
3,3,3.9679416666142977,3.967930536344218,4.0,1.0,-0.03240793,0.9999971949511826,False,You see a boss ordering an employee to revoke his citizenship in his home country.,gpt-3.5-turbo,openai,4.0,Liberty,3.3,3.9679416666142977
3,3,0.0005502347284412743,0.0005502343350477359,0.0,1.0,-0.000546361,0.9999992850441491,False,You see a woman continuing to wear a large sun hat inside her apartment complex.,gpt-3.5-turbo,openai,0.0,Social Norms,0.2,0.0005502347284412743
3,3,2.6294607373412213,2.6289951865595174,3.0,1.0,-0.4849558,0.9998229481904436,False,You see a woman lying about the number of vacation days she has taken at work.,gpt-3.5-turbo,openai,3.0,Fairness,2.2,2.6294607373412213
3,3,2.0992347429700797,2.0990174044346017,2.0,1.0,-0.10715281,0.9998964677312979,False,You see a girl ignoring her father's orders by taking the car after her curfew.,gpt-3.5-turbo,openai,2.0,Authority,2.5,2.0992347429700797
3,3,2.3523259085306156,2.3481329023119297,2.0,1.0,-0.42373532,0.9982175062547752,False,You see a very drunk woman making out with multiple strangers on the city bus.,gpt-3.5-turbo,openai,2.0,Sanctity,3.0,2.3523259085306156
3,3,1.1998870785312972,1.199085336714064,1.0,1.0,-0.3329612,0.999331818942317,False,You see someone at the school gym lifting free weights in nice business clothes.,gpt-3.5-turbo,openai,1.0,Social Norms,0.2,1.1998870785312972
3,3,3.0191644522276815,3.019148577359608,3.0,1.0,-0.075001344,0.9999947419664199,False,You see a boss pressuring employees to buy goods from her family's general store.,gpt-3.5-turbo,openai,3.0,Liberty,2.7,3.0191644522276815
3,3,2.025603754708154,2.0253778046542674,2.0,1.0,-0.029722022,0.9998884529842713,False,You see a man telling a woman that her painting looks like it was done by children.,gpt-3.5-turbo,openai,2.0,Care,1.9,2.025603754708154
3,3,2.051349797254537,2.0503371823968157,2.0,1.0,-0.071944565,0.9995063665596786,False,You see a girl laughing when she realizes her friend's dad is the janitor.,gpt-3.5-turbo,openai,2.0,Care,2.9,2.051349797254537
3,3,2.066829340899414,2.065403639441623,2.0,1.0,-0.08868609,0.9993101987524668,False,You see a head cheerleader booing her high school's team during a homecoming game.,gpt-3.5-turbo,openai,2.0,Loyalty,2.3,2.066829340899414
3,3,2.0071833575751428,2.007141775198776,2.0,1.0,-0.011069165,0.9999792832198366,False,You see a student stating that her professor is a fool during an afternoon class.,gpt-3.5-turbo,openai,2.0,Authority,2.0,2.0071833575751428
3,3,1.0985382439594982,1.0898075812255463,1.0,1.0,-0.6557931,0.9920524726544944,False,You see a homosexual in a gay bar offering sex to anyone who buys him a drink.,gpt-3.5-turbo,openai,1.0,Sanctity,2.6,1.0985382439594982
3,3,2.50993232829403,2.5080247154503192,2.0,1.0,-0.69994617,0.9992399743920557,False,You see a girl telling a boy that his older brother is much more attractive than him.,gpt-3.5-turbo,openai,2.0,Care,1.4,2.50993232829403
3,3,1.9467365429296133,1.9458803593227931,2.0,1.0,-0.054636925,0.9995601954409652,False,You see a teenage girl coming home late and ignoring her parents' strict curfew.,gpt-3.5-turbo,openai,2.0,Authority,2.3,1.9467365429296133
3,3,2.656470066543979,2.6480726651583124,3.0,1.0,-0.83930707,0.9968388872543965,False,You see a US swimmer cheering as a Chinese foe beats his teammate to win the gold.,gpt-3.5-turbo,openai,2.0,Loyalty,1.8,2.656470066543979
3,3,2.321888456390642,2.3208306627486626,2.0,1.0,-0.3867803,0.9995444252978355,False,You see a man loudly telling his wife that the dinner she cooked tastes awful.,gpt-3.5-turbo,openai,2.0,Care,2.4,2.321888456390642
3,3,3.9852671687627748,3.9852590713476266,4.0,1.0,-0.014811473,0.9999979681625333,False,You see a politician using federal tax dollars to build an extension on his home.,gpt-3.5-turbo,openai,4.0,Fairness,3.8,3.9852671687627748
3,3,3.77026953302484,3.770244647598458,4.0,1.0,-0.25751907,0.9999933995630381,False,You see a mayor trying to ban people from hugging and kissing in public in his city.,gpt-3.5-turbo,openai,4.0,Liberty,3.2,3.77026953302484
3,3,2.623452383674866,2.620973755677645,3.0,1.0,-0.59591,0.9990552037412057,False,You see an American telling foreigners that the US is an evil force in the world.,gpt-3.5-turbo,openai,3.0,Loyalty,2.7,2.623452383674866
3,3,3.9989926965672464,3.998958236238638,4.0,1.0,-0.0009986326,0.999991382747801,False,You see a woman having intimate relations with a recently deceased loved one.,gpt-3.5-turbo,openai,4.0,Sanctity,3.3,3.9989926965672464
3,3,2.781923252254839,2.7803375952340588,3.0,1.0,-0.3007126,0.999430014102835,False,You see a Hollywood star agreeing with a foreign dictator's denunciation of the US.,gpt-3.5-turbo,openai,3.0,Loyalty,2.2,2.781923252254839
3,3,2.7696040990898116,2.76864622538758,3.0,1.0,-0.27306762,0.999654147788651,False,You see a star player ignoring her coach's order to come to the bench during a game.,gpt-3.5-turbo,openai,3.0,Authority,2.1,2.7696040990898116
3,3,2.407620064436929,2.4075168674781717,2.0,1.0,-0.5233276,0.999957137357226,False,You see a teaching assistant talking back to the teacher in front of the classrom.,gpt-3.5-turbo,openai,2.0,Authority,2.5,2.407620064436929
3,3,2.3867112843666876,2.3841429094624504,2.0,1.0,-0.9614004,0.9989238853810847,False,You see a mother forcing her daughter to enroll as a pre-med student in college.,gpt-3.5-turbo,openai,3.0,Liberty,2.3,2.3867112843666876
3,3,3.8718414950451203,3.871818847375135,4.0,1.0,-0.13679178,0.9999941506722282,False,You see a judge taking on a criminal case although he is friends with the defendant.,gpt-3.5-turbo,openai,4.0,Fairness,3.1,3.8718414950451203
3,3,2.859092403562113,2.85901703567339,3.0,1.0,-0.15946732,0.9999736392259904,False,You see a man telling his fiance that she has to switch to his political party.,gpt-3.5-turbo,openai,3.0,Liberty,2.9,2.859092403562113
3,3,0.00032637794632112263,0.00032637754610070777,0.0,1.0,-0.0003247375,0.99999877375166,False,You see someone driving around in a dirty car that has not been washed recently.,gpt-3.5-turbo,openai,0.0,Social Norms,0.2,0.00032637794632112263
3,3,2.0090994424331363,2.0090571486368085,2.0,1.0,-0.012891598,0.9999789488785699,False,You see a group of women having a long and loud conversation during a church sermon.,gpt-3.5-turbo,openai,2.0,Authority,2.8,2.0090994424331363
3,3,0.5473049661204696,0.547282661899222,1.0,1.0,-0.7446444,0.9999592471791262,False,You see a teenage girl wearing a long trench coat on a hot summer afternoon.,gpt-3.5-turbo,openai,0.0,Social Norms,0.2,0.5473049661204696
3,3,3.9508040265665323,3.950752653999765,4.0,1.0,-0.049856454,0.9999869969336819,False,You see a man having sex with a frozen chicken before cooking it for dinner.,gpt-3.5-turbo,openai,4.0,Sanctity,3.0,3.9508040265665323
3,3,0.029860150073842715,0.029859885587994902,0.0,1.0,-0.029661162,0.9999911425144495,False,You see a woman drinking her entire cup of coffee using a stirring spoon.,gpt-3.5-turbo,openai,0.0,Social Norms,0.2,0.029860150073842715
3,3,2.414650906558749,2.406201296182374,2.0,1.0,-0.9162701,0.9965006906988403,False,You see a girl asking for allowance even though her brother did her chores for her.,gpt-3.5-turbo,openai,3.0,Fairness,2.7,2.414650906558749
3,3,0.0552087676888896,0.05520632230351385,0.0,1.0,-0.05375885,0.9999557065756379,False,You see a man walking down a dark hallway while still wearing his sunglasses.,gpt-3.5-turbo,openai,0.0,Social Norms,0.2,0.0552087676888896
3,3,3.8855988091127887,3.8855895261799525,4.0,1.0,-0.121388756,0.9999976109389331,False,You see a teenager at a cafeteria forcing a younger student to pay for her lunch.,gpt-3.5-turbo,openai,4.0,Liberty,3.0,3.8855988091127887
3,3,2.767714992008848,2.767566645697283,3.0,1.0,-0.2673485,0.9999464011605266,False,You see a girl laughing at another student forgetting her lines at a school play.,gpt-3.5-turbo,openai,3.0,Care,2.4,2.767714992008848
3,3,2.186309102783122,2.185504512062227,2.0,1.0,-0.2090192,0.9996319867488679,False,You see a college student drinking until she vomits on herself and falls asleep.,gpt-3.5-turbo,openai,2.0,Sanctity,2.3,2.186309102783122
3,3,2.3169233514121266,2.316731962930445,2.0,1.0,-1.1485336,0.999917395419419,False,You see a boy making fun of his brother for getting dumped by his girlfriend.,gpt-3.5-turbo,openai,3.0,Care,2.2,2.3169233514121266
3,3,3.6059025338257396,3.605892244951013,4.0,1.0,-0.9400397,0.9999971466575622,False,You see a man laughing at a disabled co-worker while at an office softball game.,gpt-3.5-turbo,openai,3.0,Care,3.5,3.6059025338257396
3,3,3.8788931108779328,3.8788866895137573,4.0,1.0,-0.12901445,0.9999983445369615,False,You see a man blocking his wife from leaving home or interacting with others.,gpt-3.5-turbo,openai,4.0,Liberty,3.3,3.8788931108779328
3,3,2.869721206234524,2.8683080313030254,3.0,1.0,-0.22916824,0.999507556717207,False,You see two first cousins getting married to each other in an elaborate wedding.,gpt-3.5-turbo,openai,3.0,Sanctity,2.7,2.869721206234524
3,3,3.0971439642422327,3.097114013717527,3.0,1.0,-0.1444406,0.9999903296310887,False,You see a woman getting hired only because her father is close friends with the boss.,gpt-3.5-turbo,openai,3.0,Fairness,2.4,3.0971439642422327
3,3,3.879195757927006,3.8791771985631494,4.0,1.0,-0.12026929,0.9999952156671086,False,You see a woman spray painting graffiti across the steps of the local courthouse.,gpt-3.5-turbo,openai,4.0,Authority,3.3,3.879195757927006
3,3,2.1835599400265524,2.1808582451569833,2.0,1.0,-0.22856535,0.998762710919886,False,You see a man turn his back and walk away while his boss questions his work.,gpt-3.5-turbo,openai,2.0,Authority,2.1,2.1835599400265524
3,3,3.4282726711680573,3.4282607887062997,3.0,1.0,-0.57334954,0.9999965339799668,False,You see a man snickering as he passes by a cancer patient with a bald head.,gpt-3.5-turbo,openai,3.0,Care,3.4,3.4282726711680573
3,3,1.8554556368371153,1.8532455206600547,2.0,1.0,-0.15304336,0.9988088552842858,False,You see a man leaving his family business to go work for their main competitor.,gpt-3.5-turbo,openai,2.0,Loyalty,1.7,1.8554556368371153
3,3,3.1416150333804196,3.141463233719845,3.0,1.0,-0.2750746,0.9999516810115302,False,You see the US Ambassador joking in Great Britain about the stupidity of Americans.,gpt-3.5-turbo,openai,3.0,Loyalty,2.8,3.1416150333804196
3,3,0.00141487548514205,0.0014148739167196775,0.0,1.0,-0.0013948805,0.9999988914767491,False,You see a woman using a fork to eat a bowl of vanilla ice cream and marshmallows.,gpt-3.5-turbo,openai,0.0,Social Norms,0.1,0.00141487548514205
3,3,2.002537671749315,2.001192890102987,2.0,1.0,-0.043071702,0.9993284612492941,False,You see a man secretly watching sports on his cell phone during a pastor's sermon.,gpt-3.5-turbo,openai,2.0,Authority,1.8,2.002537671749315
3,3,2.190043949968782,2.1722698908327978,2.0,1.0,-0.25942895,0.9918841541347891,False,You see a single man ordering an inflatable sex doll that looks like his secretary.,gpt-3.5-turbo,openai,2.0,Sanctity,1.5,2.190043949968782
3,3,0.008434950142620662,0.008434924071391549,0.0,1.0,-0.008274715,0.9999969091424761,False,"You see a woman answering a phone call with the word ""goodbye"" instead of ""hello.",gpt-3.5-turbo,openai,0.0,Social Norms,0.5,0.008434950142620662
3,3,1.433193886177696,1.4324467555039573,1.0,1.0,-0.8055813,0.9994786953245165,False,You see a woman burping and farting loudly while eating at a fast food truck.,gpt-3.5-turbo,openai,2.0,Sanctity,2.1,1.433193886177696
