foundation,perm,status,R_median,R_q2.5,R_q97.5
Authority,0,ok,0.002779797035648352,4.811257697902971e-06,0.029996722527403465
Authority,1,ok,0.001573325314580974,2.6409285677985106e-06,0.018985983882526074
Authority,2,ok,0.0017941173173509847,4.842141059963316e-06,0.020057406327798743
Authority,3,ok,0.0019113225550945229,4.6468870703857865e-06,0.021856539675431722
Authority,4,ok,0.002838146986896152,7.580797685848053e-06,0.028479863598071344
Authority,5,ok,0.004237903876070958,5.714653542989496e-06,0.040321715700628126
Authority,6,ok,0.0022207609367413984,4.680595946604971e-06,0.024449156002215946
Authority,7,ok,0.0017901572980527371,4.077894441529609e-06,0.02105814271584994
Authority,8,ok,0.0016179814924195846,5.259213277413878e-06,0.01763788799958419
Authority,9,ok,0.001482551216093926,2.789879803816858e-06,0.017316750023730895
Authority,10,ok,0.0017372162005517859,3.962688748376586e-06,0.020737831749041497
Authority,11,ok,0.003924921462067467,1.0282816158080078e-05,0.03990956356399951
Authority,12,ok,0.0021774725552991987,6.377388545491087e-06,0.0250163044366571
Authority,13,ok,0.0016014171101642186,5.068610179983239e-06,0.018040280451344586
Authority,14,ok,0.0017807743373172108,3.4130860067380967e-06,0.018859893403594105
Authority,15,ok,0.0019956475679678886,7.4593237945311596e-06,0.024266739328991913
Authority,16,ok,0.0028702003186864816,6.233216378400515e-06,0.029379966514289865
Authority,17,ok,0.004361392942632051,1.0723920445631178e-05,0.03917297428953848
Authority,18,ok,0.003285932884142873,6.402286505304982e-06,0.03378983547883102
Authority,19,ok,0.001885659650712088,3.696239919295674e-06,0.02238830591783621
Authority,20,ok,0.0018518783025743848,3.7418595469837624e-06,0.02104313305035241
Authority,21,ok,0.00393859089338383,1.322648232390788e-05,0.0363693623243947
Authority,22,ok,0.003132566412099332,7.304239206250041e-06,0.03216145067997106
Authority,23,ok,0.0012480684496984616,3.42961102225708e-06,0.013729554055700113
Authority,24,ok,0.001529961817398329,3.805687861955599e-06,0.0171892449346731
Authority,25,ok,0.0037198303753625296,1.01853767707898e-05,0.03914695751690071
Authority,26,ok,0.002785451902220467,6.256996915515149e-06,0.02945555870060353
Authority,27,ok,0.001588329104823786,4.035752663394999e-06,0.020188390556407664
Authority,28,ok,0.002895878886774113,8.404163566783732e-06,0.030882417843260037
Authority,29,ok,0.0021375958151313877,5.256445684741066e-06,0.02315321453262429
Authority,30,ok,0.002420910694399047,6.0620633387758175e-06,0.027546875280138
Authority,31,ok,0.002372286277692857,6.694441813238935e-06,0.02583122017024652
Authority,32,ok,0.004289575494026877,9.711174761812398e-06,0.040765464137134534
Authority,33,ok,0.0018435951060090027,1.6446758467806763e-06,0.021745266233636762
Authority,34,ok,0.002634786666924389,7.59881159790077e-06,0.027304897509522297
Authority,35,ok,0.0022498177182526512,5.020444391849068e-06,0.025518910675487883
Authority,36,ok,0.001949209089069912,4.2086951104607625e-06,0.02263496379044144
Authority,37,ok,0.00267071490900264,5.396234885541629e-06,0.02957689282281281
Authority,38,ok,0.0016551137604684143,4.883422363382733e-06,0.017596837946604375
Authority,39,ok,0.0025774380689473127,5.964711041773652e-06,0.029740043095327733
Authority,40,ok,0.0021921845752935778,7.1995705183599005e-06,0.02439944885119926
Authority,41,ok,0.002388373454241001,4.045882399157547e-06,0.027813529527906566
Authority,42,ok,0.0014527126050767206,3.5492842077091136e-06,0.01741018852768527
Authority,43,ok,0.001776766752871591,5.635854007367473e-06,0.019944526200782384
Authority,44,ok,0.0017512640812986239,3.3322803661497105e-06,0.020132855557173614
Authority,45,ok,0.001950203820165352,5.395413372028087e-06,0.02016580734439627
Authority,46,ok,0.003157470263329862,9.878783015616707e-06,0.02973841335186528
Authority,47,ok,0.008084525274716781,2.8268175503107165e-05,0.05978258054797609
Authority,48,ok,0.00336684782047967,8.606484880271839e-06,0.03212201939121374
Authority,49,ok,0.002559598395952189,5.242125982224633e-06,0.028378702576584265
Authority,50,ok,0.006385433573505081,1.8867055503419678e-05,0.04912602104079611
